               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              3.4932,               2.131,              1.4192,              0.7206,             0.41392,             0.38187,            0.076682,                   0,                   0,                   0,           0.0046257,           0.0046257,           0.0046257
                  40,              3.5497,              2.1391,              1.4222,             0.70771,             0.41966,              0.3644,            0.079475,                   0,                   0,                   0,           0.0044843,           0.0044843,           0.0044843
                  41,              3.4783,              2.0826,              1.4042,             0.62049,             0.38522,             0.31771,            0.057338,                   0,                   0,                   0,           0.0043429,           0.0043429,           0.0043429
                  42,              3.5397,               2.132,              1.4217,             0.63121,             0.40149,             0.35626,            0.064424,                   0,                   0,                   0,           0.0042014,           0.0042014,           0.0042014
                  43,              3.5308,              2.1157,              1.4111,             0.69703,             0.43257,             0.37638,            0.069858,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  44,               3.464,              2.0966,              1.3938,             0.66035,             0.37948,             0.35379,            0.066708,                   0,                   0,                   0,           0.0039186,           0.0039186,           0.0039186
                  45,              3.4574,              2.0209,              1.3772,             0.80676,             0.47059,              0.4591,              0.1021,                   0,                   0,                   0,           0.0037771,           0.0037771,           0.0037771
                  46,              3.5027,              2.1496,              1.4438,              0.6578,               0.433,             0.40214,            0.078966,                   0,                   0,                   0,           0.0036357,           0.0036357,           0.0036357
                  47,              3.4187,              2.0911,              1.3886,             0.69545,             0.42324,             0.39951,            0.079774,                   0,                   0,                   0,           0.0034943,           0.0034943,           0.0034943
                  48,              3.4405,              2.1295,               1.416,              0.6633,             0.41822,               0.354,            0.063224,                   0,                   0,                   0,           0.0033529,           0.0033529,           0.0033529
                  49,              3.4438,              2.0863,              1.4171,             0.71105,             0.44261,             0.41011,            0.084683,                   0,                   0,                   0,           0.0032114,           0.0032114,           0.0032114
                  50,              3.3465,              2.0012,                1.39,             0.64977,             0.38522,               0.365,            0.072968,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  51,              3.3339,               2.002,              1.3762,             0.80827,             0.48689,             0.45805,             0.11566,                   0,                   0,                   0,           0.0029286,           0.0029286,           0.0029286
                  52,              3.3955,              2.0449,               1.384,             0.78018,             0.44333,             0.42922,            0.090077,                   0,                   0,                   0,           0.0027871,           0.0027871,           0.0027871
                  53,              3.3484,              2.0352,               1.409,             0.73701,             0.45696,              0.4095,            0.078937,                   0,                   0,                   0,           0.0026457,           0.0026457,           0.0026457
                  54,              3.4181,              1.9571,              1.3886,             0.72859,             0.44678,             0.40192,            0.069803,                   0,                   0,                   0,           0.0025043,           0.0025043,           0.0025043
                  55,              3.3957,              2.0007,               1.404,             0.81472,             0.49785,             0.47895,             0.10298,                   0,                   0,                   0,           0.0023629,           0.0023629,           0.0023629
                  56,              3.2858,              1.9274,              1.3945,             0.74275,             0.44946,             0.38774,             0.07933,                   0,                   0,                   0,           0.0022214,           0.0022214,           0.0022214
                  57,               3.281,              1.9226,              1.3893,             0.82374,             0.50215,             0.47149,             0.10337,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  58,              3.3248,              1.9598,              1.3839,             0.76313,             0.46341,             0.43876,            0.091384,                   0,                   0,                   0,           0.0019386,           0.0019386,           0.0019386
                  59,              3.2156,              1.8787,              1.3706,             0.74136,             0.45648,             0.41752,             0.08653,                   0,                   0,                   0,           0.0017971,           0.0017971,           0.0017971
